Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFK-9J63;01/09/2025 00:00:00 - 30/09/2025 23:59:59;101:05:18;85:32:43;15:32:35;411:51:51;2822,98;$ 0,00;$ 0,00;195
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 11:17:35 - 03/09/2025 13:08:15;Ligado;01:50:40;01:33:40;00:17:00; - ;55.62;Rua Jose Faria Campos -  158 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  122 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 13:08:15 - 03/09/2025 13:10:07;Desligado; - ; - ; - ;00:01:52; - ;Rua Jose Faria Campos, 122, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 13:10:07 - 03/09/2025 13:18:26;Ligado;00:08:19;00:05:19;00:03:00; - ;2.71;Rua Jose Faria Campos -  122 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  8 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 13:18:26 - 03/09/2025 15:58:11;Desligado; - ; - ; - ;02:39:45; - ;Avenida Afonso Pena, 8, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 15:58:11 - 03/09/2025 16:05:36;Ligado;00:07:25;00:04:14;00:03:11; - ;1.63;Avenida Afonso Pena -  7 -  Jandaia - GO -  75950-000 -  Brasil;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:05:36 - 03/09/2025 16:17:20;Desligado; - ; - ; - ;00:11:44; - ;GO-320, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:17:20 - 03/09/2025 16:26:05;Ligado;00:08:45;00:03:45;00:05:00; - ;1.14;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:26:05 - 03/09/2025 16:38:42;Desligado; - ; - ; - ;00:12:37; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:38:42 - 03/09/2025 16:42:48;Ligado;00:04:06;00:01:06;00:03:00; - ;0.26;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Dois -  88 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:42:48 - 03/09/2025 16:45:53;Desligado; - ; - ; - ;00:03:05; - ;Rua F-Dois, 88, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:45:53 - 03/09/2025 16:49:56;Ligado;00:04:03;00:02:03;00:02:00; - ;0.87;Rua F-Dois -  88 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 16:49:56 - 03/09/2025 17:10:48;Desligado; - ; - ; - ;00:20:52; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 17:10:48 - 03/09/2025 17:16:13;Ligado;00:05:25;00:04:25;00:01:00; - ;1.33;Rua Dois -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 17:16:13 - 03/09/2025 17:20:50;Desligado; - ; - ; - ;00:04:37; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 17:20:50 - 03/09/2025 18:53:20;Ligado;01:32:30;01:25:00;00:07:30; - ;48.89;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
